date,id,location,quality,remark,source,lat,long
2019-08-20,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2020-05-27,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2020-06-23,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2020-07-20,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2020-08-17,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2021-05-31,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2021-06-17,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2021-07-15,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2021-05-31,999291,Männedorf / Strandbad Sonnenfeld,Ausgezeichnet,,Kantonales Labor Zürich,8.705561742,47.24525391
2021-06-17,999291,Männedorf / Strandbad Sonnenfeld,Ausgezeichnet,,Kantonales Labor Zürich,8.705561742,47.24525391
2019-08-20,999291,Männedorf / Strandbad Sonnenfeld,Gut,,Kantonales Labor Zürich,8.705561742,47.24525391
2020-05-27,999291,Männedorf / Strandbad Sonnenfeld,Ausgezeichnet,,Kantonales Labor Zürich,8.705561742,47.24525391
2020-06-23,999291,Männedorf / Strandbad Sonnenfeld,Ausgezeichnet,,Kantonales Labor Zürich,8.705561742,47.24525391
2020-08-17,999291,Männedorf / Strandbad Sonnenfeld,Ausgezeichnet,,Kantonales Labor Zürich,8.705561742,47.24525391
2021-05-31,999291,Männedorf / Strandbad Sonnenfeld,Ausgezeichnet,,Kantonales Labor Zürich,8.705561742,47.24525391
2021-06-17,999291,Männedorf / Strandbad Sonnenfeld,Ausgezeichnet,,Kantonales Labor Zürich,8.705561742,47.24525391
2021-05-31,999292,Uetikon am See / Strandbad Uetikon,Ausgezeichnet,,Kantonales Labor Zürich,8.676977569,47.25790677
2021-06-17,999292,Uetikon am See / Strandbad Uetikon,Ausgezeichnet,,Kantonales Labor Zürich,8.676977569,47.25790677
2019-08-20,999292,Uetikon am See / Strandbad Uetikon,Gut,,Kantonales Labor Zürich,8.676977569,47.25790677
2020-05-26,999292,Uetikon am See / Strandbad Uetikon,Ausgezeichnet,,Kantonales Labor Zürich,8.676977569,47.25790677
2020-06-23,999292,Uetikon am See / Strandbad Uetikon,Ausgezeichnet,,Kantonales Labor Zürich,8.676977569,47.25790677
2020-08-17,999292,Uetikon am See / Strandbad Uetikon,Ausgezeichnet,,Kantonales Labor Zürich,8.676977569,47.25790677
2021-05-31,999292,Uetikon am See / Strandbad Uetikon,Ausgezeichnet,,Kantonales Labor Zürich,8.676977569,47.25790677
2021-06-17,999292,Uetikon am See / Strandbad Uetikon,Ausgezeichnet,,Kantonales Labor Zürich,8.676977569,47.25790677
2021-05-27,999293,Uster / Strandbad Uster,Ausgezeichnet,,Kantonales Labor Zürich,8.690639706,47.34131925
2021-06-24,999293,Uster / Strandbad Uster,Ausgezeichnet,,Kantonales Labor Zürich,8.690639706,47.34131925
2019-07-18,999293,Uster / Strandbad Uster,Ausgezeichnet,,Kantonales Labor Zürich,8.690639706,47.34131925
2019-08-15,999293,Uster / Strandbad Uster,Ausgezeichnet,,Kantonales Labor Zürich,8.690639706,47.34131925
2020-05-28,999293,Uster / Strandbad Uster,Ausgezeichnet,,Kantonales Labor Zürich,8.690639706,47.34131925
